residue,predus,ispred,dockpred,rfscore,annotated
280_1KXP.A,0.0,0.15,0.112,0.0,1.0
283_1KXP.A,0.0,0.88,0.168,0.8,1.0
284_1KXP.A,0.0,0.92,0.204,0.8,1.0
286_1KXP.A,0.0,0.66,0.419,0.0,1.0
287_1KXP.A,0.0,0.95,0.143,0.0,1.0
288_1KXP.A,0.0,0.83,0.291,0.1,1.0
290_1KXP.A,0.0,0.59,0.138,0.0,1.0
291_1KXP.A,0.0,0.49,0.055,0.0,1.0
295_1KXP.A,0.0,0.04,0.01,0.0,1.0
328_1KXP.A,0.0,0.05,0.045,1.0,1.0
351_1KXP.A,0.312,0.96,0.388,0.1,1.0
134_1KXP.D,0.031,0.07,0.656,0.0,1.0
136_1KXP.D,0.031,0.0,0.538,0.0,1.0
137_1KXP.D,0.0,0.91,0.91,0.6,1.0
138_1KXP.D,0.0,0.19,0.626,0.5,1.0
139_1KXP.D,0.0,0.86,0.386,0.0,1.0
140_1KXP.D,0.0,0.88,0.549,0.2,1.0
141_1KXP.D,0.0,0.85,0.291,1.0,1.0
143_1KXP.D,0.0,0.36,0.414,0.0,1.0
167_1KXP.D,0.031,0.01,0.422,0.1,1.0
196_1KXP.D,0.0,0.34,0.268,0.1,1.0
203_1KXP.D,0.0,0.98,0.375,0.0,1.0
205_1KXP.D,0.0,0.99,0.065,0.0,1.0
207_1KXP.D,0.0,0.8,0.342,0.5,1.0
210_1KXP.D,0.0,0.7,0.184,0.0,1.0
211_1KXP.D,0.0,0.68,0.265,0.0,1.0
214_1KXP.D,0.0,0.44,0.314,0.9,1.0
218_1KXP.D,0.0,0.2,0.257,0.0,1.0
311_1KXP.D,0.0,0.02,0.325,0.0,1.0
314_1KXP.D,0.0,0.02,0.897,0.0,1.0
413_1KXP.D,0.079,0.01,0.362,0.0,1.0
414_1KXP.D,0.279,0.04,0.698,0.2,1.0
415_1KXP.D,0.051,0.07,0.993,0.3,1.0
416_1KXP.D,0.079,0.06,0.746,0.0,1.0
450_1KXP.D,0.0,0.27,0.796,0.1,1.0
451_1KXP.D,0.0,0.95,0.709,0.0,1.0
456_1KXP.D,0.0,0.98,0.34,0.0,1.0
20_1LFD.A,0.652,0.99,0.733,0.3,1.0
27_1LFD.A,0.249,0.92,0.141,0.1,1.0
28_1LFD.A,0.466,0.53,0.321,0.4,1.0
29_1LFD.A,0.197,0.92,0.329,0.6,1.0
30_1LFD.A,1.0,0.99,0.463,0.9,1.0
31_1LFD.A,0.708,0.54,0.657,0.5,1.0
32_1LFD.A,0.598,0.87,0.255,0.5,1.0
33_1LFD.A,0.173,0.98,0.427,1.0,1.0
51_1LFD.A,0.0,0.02,0.031,0.0,1.0
52_1LFD.A,0.079,0.07,0.172,0.0,1.0
54_1LFD.A,0.0,0.03,0.071,0.0,1.0
17_1LUC.A,0.0,0.68,0.621,0.0,1.0
18_1LUC.A,0.0,0.96,0.291,0.7,1.0
21_1LUC.A,0.0,0.91,0.296,0.3,1.0
22_1LUC.A,0.0,0.43,0.057,0.1,1.0
45_1LUC.A,0.0,0.0,0.549,0.0,1.0
46_1LUC.A,0.0,0.97,1.0,0.0,1.0
47_1LUC.A,0.0,0.0,0.396,0.0,1.0
51_1LUC.A,0.0,0.71,0.421,0.3,1.0
54_1LUC.A,0.0,0.97,0.587,0.2,1.0
60_1LUC.A,0.0,0.76,0.077,0.3,1.0
61_1LUC.A,0.0,0.99,0.15,0.0,1.0
64_1LUC.A,0.0,0.96,0.052,0.0,1.0
65_1LUC.A,0.0,0.52,0.027,0.0,1.0
80_1LUC.A,0.0,0.0,0.236,0.0,1.0
82_1LUC.A,0.0,0.98,0.274,0.4,1.0
85_1LUC.A,0.0,0.85,0.497,0.8,1.0
88_1LUC.A,0.0,0.85,0.112,0.2,1.0
89_1LUC.A,0.0,0.91,0.166,0.0,1.0
95_1LUC.A,0.129,0.72,0.097,0.0,1.0
96_1LUC.A,0.0,0.9,0.106,1.0,1.0
115_1LUC.A,0.0,0.75,0.732,0.2,1.0
116_1LUC.A,0.0,0.94,0.981,0.3,1.0
117_1LUC.A,0.0,0.98,0.87,0.2,1.0
153_1LUC.A,0.0,0.94,0.105,0.6,1.0
154_1LUC.A,0.0,0.98,0.082,1.0,1.0
157_1LUC.A,0.129,0.23,0.116,0.1,1.0
159_1LUC.A,0.46,0.56,0.106,0.1,1.0
160_1LUC.A,0.129,0.87,0.073,0.0,1.0
161_1LUC.A,0.051,0.48,0.099,0.0,1.0
261_1LUC.A,1.0,0.93,0.869,0.8,1.0
267_1ML0.A,0.0,0.17,0.145,0.1,1.0
269_1ML0.A,0.024,0.25,0.054,0.0,1.0
270_1ML0.A,0.0,0.8,0.105,0.0,1.0
272_1ML0.A,0.0,0.83,0.036,0.1,1.0
273_1ML0.A,0.0,0.37,0.026,0.0,1.0
274_1ML0.A,0.0,0.21,0.013,0.0,1.0
275_1ML0.A,0.0,0.27,0.021,0.0,1.0
356_1ML0.A,0.0,0.04,0.02,0.8,1.0
357_1ML0.A,0.0,0.06,0.031,0.0,1.0
50_1MLC.A,0.0,0.26,0.598,0.0,1.0
91_1MLC.A,0.0,0.0,0.384,0.0,1.0
92_1MLC.A,0.051,0.76,0.621,0.5,1.0
94_1MLC.A,0.2,0.85,1.0,0.6,1.0
530_1MLC.A,0.428,0.18,0.251,0.3,1.0
532_1MLC.A,0.76,0.26,0.676,0.3,1.0
533_1MLC.A,1.0,0.65,0.982,0.8,1.0
535_1MLC.A,0.0,0.0,0.205,0.0,1.0
550_1MLC.A,0.455,0.0,0.63,1.0,1.0
555_1MLC.A,0.04,0.23,0.398,0.0,1.0
556_1MLC.A,0.009,0.14,0.25,0.4,1.0
557_1MLC.A,0.016,0.14,0.636,0.3,1.0
601_1MLC.A,0.051,0.0,0.386,0.1,1.0
139_1MQ8.B,0.0,0.0,0.079,0.0,1.0
140_1MQ8.B,0.76,0.74,1.0,0.6,1.0
141_1MQ8.B,0.406,0.51,0.416,0.4,1.0
143_1MQ8.B,0.223,0.13,0.41,0.0,1.0
204_1MQ8.B,1.0,0.96,0.983,1.0,1.0
205_1MQ8.B,0.507,0.97,0.707,0.6,1.0
206_1MQ8.B,0.0,0.0,0.09,0.0,1.0
241_1MQ8.B,0.186,0.02,0.274,0.0,1.0
243_1MQ8.B,0.173,0.02,0.358,0.1,1.0
244_1MQ8.B,0.131,0.17,0.319,0.0,1.0
245_1MQ8.B,0.0,0.02,0.206,0.0,1.0
264_1MQ8.B,0.026,0.14,0.297,0.2,1.0
12_1MSP.A,0.0,0.03,0.597,0.0,1.0
13_1MSP.A,0.0,0.05,0.601,0.0,1.0
14_1MSP.A,0.0,0.08,0.345,0.2,1.0
16_1MSP.A,0.0,0.06,0.427,0.0,1.0
18_1MSP.A,0.051,0.04,0.664,0.0,1.0
20_1MSP.A,0.014,0.08,0.871,0.0,1.0
21_1MSP.A,0.04,0.06,0.488,0.0,1.0
22_1MSP.A,0.035,0.03,0.503,0.0,1.0
24_1MSP.A,0.009,0.01,0.18,0.0,1.0
29_1MSP.A,0.051,0.03,0.879,0.0,1.0
125_1MSP.A,0.075,0.51,0.534,0.2,1.0
126_1MSP.A,0.084,0.5,0.372,0.1,1.0
72_1NSE.A,0.255,0.96,0.375,0.5,1.0
76_1NSE.A,0.455,0.98,0.971,0.7,1.0
77_1NSE.A,1.0,0.86,0.195,0.8,1.0
90_1NSE.A,0.0,0.07,0.013,0.0,1.0
93_1NSE.A,0.0,0.12,0.017,0.0,1.0
94_1NSE.A,0.0,0.97,0.01,1.0,1.0
96_1NSE.A,0.217,0.89,0.095,0.5,1.0
97_1NSE.A,0.079,0.96,0.138,0.0,1.0
98_1NSE.A,0.131,0.96,0.288,0.4,1.0
99_1NSE.A,0.131,0.93,0.345,0.3,1.0
100_1NSE.A,0.217,0.97,0.388,0.6,1.0
101_1NSE.A,0.061,0.78,0.616,0.3,1.0
104_1NSE.A,0.217,0.99,0.569,0.4,1.0
105_1NSE.A,0.194,0.8,0.236,0.1,1.0
106_1NSE.A,0.0,0.99,0.125,0.0,1.0
366_1NSE.A,0.0,0.0,0.034,0.0,1.0
367_1NSE.A,0.0,0.98,0.121,1.0,1.0
371_1NSE.A,0.0,0.0,0.074,0.0,1.0
372_1NSE.A,0.0,0.89,0.12,0.1,1.0
373_1NSE.A,0.0,0.87,0.124,0.7,1.0
392_1NSE.A,0.0,0.97,0.272,0.6,1.0
393_1NSE.A,0.0,0.98,0.206,0.9,1.0
395_1NSE.A,0.0,0.98,0.263,1.0,1.0
398_1NSE.A,0.0,0.57,0.266,0.0,1.0
406_1NSE.A,0.0,0.17,0.019,0.0,1.0
421_1NSE.A,0.0,0.96,0.023,0.0,1.0
422_1NSE.A,0.0,0.0,0.006,0.0,1.0
423_1NSE.A,0.0,0.85,0.031,0.0,1.0
448_1NSE.A,0.217,0.96,0.395,0.7,1.0
453_1NSE.A,0.079,0.97,0.237,0.8,1.0
455_1NSE.A,0.079,0.95,0.207,0.9,1.0
456_1NSE.A,0.217,0.98,0.311,0.8,1.0
457_1NSE.A,0.194,0.98,0.62,0.6,1.0
462_1NSE.A,0.194,0.95,1.0,0.5,1.0
463_1NSE.A,0.194,0.98,0.67,0.6,1.0
465_1NSE.A,0.091,0.96,0.766,0.2,1.0
466_1NSE.A,0.081,0.97,0.244,0.9,1.0
468_1NSE.A,0.079,0.94,0.078,0.6,1.0
469_1NSE.A,0.0,0.0,0.013,0.0,1.0
205_1OFU.A,0.0,0.51,0.535,0.0,1.0
206_1OFU.A,0.0,0.98,0.667,1.0,1.0
207_1OFU.A,0.0,0.98,0.673,1.0,1.0
208_1OFU.A,0.0,0.97,0.389,1.0,1.0
210_1OFU.A,0.0,0.87,0.194,0.0,1.0
269_1OFU.A,0.317,0.57,0.361,0.1,1.0
270_1OFU.A,0.616,0.34,0.16,0.7,1.0
271_1OFU.A,0.468,0.07,0.363,0.3,1.0
272_1OFU.A,0.698,0.07,0.324,0.2,1.0
273_1OFU.A,0.698,0.98,0.587,0.4,1.0
276_1OFU.A,0.468,0.87,0.435,0.8,1.0
304_1OFU.A,0.024,0.12,0.14,0.0,1.0
6_1ONE.A,0.133,0.72,0.45,0.4,1.0
8_1ONE.A,0.246,0.95,0.52,0.8,1.0
10_1ONE.A,0.108,0.95,0.474,0.5,1.0
11_1ONE.A,0.121,0.96,1.0,0.4,1.0
12_1ONE.A,0.108,0.0,0.178,0.1,1.0
13_1ONE.A,0.18,0.97,0.187,0.2,1.0
14_1ONE.A,0.122,0.98,0.324,0.2,1.0
15_1ONE.A,0.108,0.96,0.57,0.2,1.0
16_1ONE.A,0.266,0.0,0.219,0.7,1.0
20_1ONE.A,0.073,0.0,0.149,0.0,1.0
31_1ONE.A,0.126,0.96,0.198,0.3,1.0
55_1ONE.A,0.364,0.87,0.656,0.6,1.0
56_1ONE.A,1.0,0.97,0.982,1.0,1.0
161_1ONE.A,0.0,0.99,0.086,1.0,1.0
183_1ONE.A,0.0,0.0,0.006,0.0,1.0
184_1ONE.A,0.0,0.98,0.007,0.0,1.0
188_1ONE.A,0.0,0.98,0.005,1.0,1.0
191_1ONE.A,0.0,0.98,0.019,0.0,1.0
203_1ONE.A,0.0,0.86,0.042,0.0,1.0
204_1ONE.A,0.0,0.97,0.091,0.0,1.0
207_1ONE.A,0.0,0.98,0.126,1.0,1.0
208_1ONE.A,0.0,0.94,0.105,0.6,1.0
215_1ONE.A,0.0,0.98,0.028,0.0,1.0
217_1ONE.A,0.0,0.82,0.056,0.9,1.0
379_1ONE.A,0.0,0.98,0.265,1.0,1.0
400_1ONE.A,0.0,0.0,0.012,0.0,1.0
401_1ONE.A,0.0,0.64,0.022,0.0,1.0
402_1ONE.A,0.0,0.98,0.151,0.0,1.0
403_1ONE.A,0.0,0.97,0.089,0.0,1.0
404_1ONE.A,0.0,0.0,0.058,0.5,1.0
406_1ONE.A,0.0,0.95,0.021,0.0,1.0
410_1ONE.A,0.0,0.99,0.025,0.0,1.0
414_1ONE.A,0.0,0.98,0.04,0.0,1.0
417_1ONE.A,0.0,0.98,0.014,0.0,1.0
1_1PDK.A,0.183,0.01,0.168,0.2,1.0
4_1PDK.A,0.241,0.0,0.085,0.1,1.0
8_1PDK.A,0.399,0.0,0.137,0.4,1.0
26_1PDK.A,0.0,0.01,0.217,0.0,1.0
31_1PDK.A,0.0,0.0,0.263,0.0,1.0
91_1PDK.A,0.241,0.96,0.482,0.5,1.0
92_1PDK.A,0.355,0.0,0.142,0.2,1.0
99_1PDK.A,0.0,0.97,0.34,0.0,1.0
100_1PDK.A,0.241,0.95,0.186,0.4,1.0
101_1PDK.A,0.399,0.98,0.367,0.3,1.0
102_1PDK.A,0.885,0.98,0.488,0.7,1.0
103_1PDK.A,1.0,0.96,0.687,0.5,1.0
104_1PDK.A,1.0,0.97,0.592,0.7,1.0
105_1PDK.A,0.525,0.97,0.666,0.7,1.0
106_1PDK.A,0.398,0.95,0.443,0.6,1.0
107_1PDK.A,0.355,0.98,0.456,0.4,1.0
108_1PDK.A,0.355,0.98,0.387,0.8,1.0
109_1PDK.A,0.0,0.88,0.18,0.5,1.0
110_1PDK.A,0.0,0.98,0.255,0.0,1.0
112_1PDK.A,0.0,0.93,0.107,0.9,1.0
152_1PDK.A,0.0,0.0,0.031,0.0,1.0
154_1PDK.A,0.0,0.0,0.063,0.0,1.0
163_1PDK.A,0.0,0.0,0.017,0.0,1.0
164_1PDK.A,0.0,0.14,0.353,0.1,1.0
165_1PDK.A,0.0,0.24,0.136,0.2,1.0
166_1PDK.A,0.0,0.18,0.058,0.0,1.0
170_1PDK.A,0.0,0.97,0.182,0.2,1.0
200_1PDK.A,0.525,0.06,0.52,0.3,1.0
5_1PNK.A,0.0,0.64,0.007,0.0,1.0
6_1PNK.A,0.0,0.79,0.008,0.0,1.0
7_1PNK.A,0.0,0.91,0.007,0.0,1.0
9_1PNK.A,0.259,0.95,0.005,0.7,1.0
10_1PNK.A,0.428,0.98,0.026,0.1,1.0
11_1PNK.A,0.428,0.98,0.055,0.1,1.0
12_1PNK.A,0.64,0.95,0.354,0.6,1.0
13_1PNK.A,0.565,0.98,0.261,0.6,1.0
14_1PNK.A,0.565,0.97,0.514,0.6,1.0
15_1PNK.A,0.565,0.93,0.166,0.6,1.0
16_1PNK.A,0.917,0.99,0.894,0.5,1.0
17_1PNK.A,1.0,0.94,0.504,1.0,1.0
18_1PNK.A,0.64,0.99,0.62,0.4,1.0
19_1PNK.A,0.917,0.84,0.392,0.8,1.0
20_1PNK.A,0.525,0.99,0.275,0.8,1.0
21_1PNK.A,0.428,0.97,0.117,0.3,1.0
23_1PNK.A,0.241,0.64,0.062,0.2,1.0
25_1PNK.A,0.0,0.98,0.011,0.0,1.0
26_1PNK.A,0.0,0.95,0.008,0.0,1.0
27_1PNK.A,0.398,0.98,0.456,0.3,1.0
31_1PNK.A,0.565,0.99,0.996,1.0,1.0
33_1PNK.A,0.0,0.0,0.007,0.0,1.0
34_1PNK.A,0.0,0.0,0.144,0.0,1.0
38_1PNK.A,0.241,0.93,0.189,0.0,1.0
39_1PNK.A,0.0,0.98,0.634,0.9,1.0
42_1PNK.A,0.0,0.97,0.454,0.1,1.0
45_1PNK.A,0.0,0.85,0.15,0.0,1.0
49_1PNK.A,0.0,0.9,0.137,0.0,1.0
55_1PNK.A,0.0,0.96,0.003,0.0,1.0
56_1PNK.A,0.0,0.98,0.004,1.0,1.0
60_1PNK.A,0.0,0.8,0.027,0.8,1.0
65_1PNK.A,0.0,0.93,0.149,0.7,1.0
66_1PNK.A,0.0,0.0,0.001,0.0,1.0
67_1PNK.A,0.0,0.96,0.005,0.0,1.0
70_1PNK.A,0.0,0.94,0.009,0.0,1.0
71_1PNK.A,0.0,0.98,0.018,1.0,1.0
72_1PNK.A,0.0,0.94,0.021,0.0,1.0
73_1PNK.A,0.0,0.98,0.016,0.0,1.0
74_1PNK.A,0.0,0.99,0.024,0.0,1.0
75_1PNK.A,0.0,0.71,0.006,0.0,1.0
81_1PNK.A,0.0,0.95,0.118,0.0,1.0
85_1PNK.A,0.0,0.97,0.101,0.0,1.0
88_1PNK.A,0.0,0.58,0.298,0.0,1.0
89_1PNK.A,0.0,0.94,0.3,0.0,1.0
91_1PNK.A,0.0,0.8,0.007,0.8,1.0
96_1PNK.A,0.241,0.0,0.58,0.2,1.0
115_1PNK.A,0.0,0.0,0.003,0.0,1.0
116_1PNK.A,0.0,0.15,0.009,0.0,1.0
117_1PNK.A,0.0,0.7,0.054,0.0,1.0
118_1PNK.A,0.0,0.79,0.123,0.3,1.0
141_1PNK.A,0.183,0.96,0.562,0.8,1.0
145_1PNK.A,0.0,0.86,0.64,0.1,1.0
146_1PNK.A,0.259,0.96,0.871,0.4,1.0
147_1PNK.A,0.0,0.98,0.314,0.2,1.0
148_1PNK.A,0.0,0.98,0.06,0.0,1.0
150_1PNK.A,0.0,0.96,0.05,0.0,1.0
151_1PNK.A,0.0,0.96,0.046,0.1,1.0
152_1PNK.A,0.259,0.98,0.024,0.2,1.0
155_1PNK.A,0.259,0.94,0.024,0.8,1.0
156_1PNK.A,0.259,0.99,0.008,0.1,1.0
158_1PNK.A,0.0,0.86,0.023,0.0,1.0
161_1PNK.A,0.0,0.75,0.005,0.0,1.0
166_1PNK.A,0.241,0.67,0.019,0.2,1.0
170_1PNK.A,0.0,0.72,0.008,0.0,1.0
172_1PNK.A,0.241,0.7,0.007,0.6,1.0
176_1PNK.A,0.0,0.86,0.01,0.0,1.0
177_1PNK.A,0.0,0.91,0.038,0.0,1.0
178_1PNK.A,0.0,0.98,0.062,0.4,1.0
179_1PNK.A,0.0,0.95,0.078,0.1,1.0
180_1PNK.A,0.355,0.95,0.093,0.3,1.0
182_1PNK.A,0.382,0.98,0.043,0.0,1.0
183_1PNK.A,0.0,0.98,0.061,0.2,1.0
186_1PNK.A,0.0,0.98,0.068,1.0,1.0
187_1PNK.A,0.0,0.93,0.151,0.7,1.0
188_1PNK.A,0.0,0.97,0.147,0.1,1.0
189_1PNK.A,0.0,0.95,0.478,1.0,1.0
190_1PNK.A,0.0,0.98,0.238,0.1,1.0
193_1PNK.A,0.0,0.89,0.019,1.0,1.0
194_1PNK.A,0.0,0.96,0.107,1.0,1.0
195_1PNK.A,0.0,0.93,0.084,0.8,1.0
6_1PP2.L,0.0,0.97,0.242,1.0,1.0
19_1PP2.L,0.055,0.87,0.644,0.1,1.0
23_1PP2.L,0.281,0.96,0.482,0.1,1.0
29_1PP2.L,0.154,0.86,0.16,0.4,1.0
31_1PP2.L,0.104,0.97,0.864,0.6,1.0
34_1PP2.L,0.166,0.97,0.517,1.0,1.0
49_1PP2.L,0.0,0.98,0.243,0.0,1.0
52_1PP2.L,0.0,0.0,0.188,0.0,1.0
55_1PP2.L,0.0,0.0,0.11,0.0,1.0
56_1PP2.L,0.0,0.93,0.173,0.0,1.0
61_1PP2.L,0.0,0.72,0.119,1.0,1.0
67_1PP2.L,0.0,0.93,0.302,0.9,1.0
69_1PP2.L,0.0,0.84,0.482,0.0,1.0
70_1PP2.L,0.0,0.92,0.172,0.0,1.0
118_1PP2.L,1.0,0.96,0.946,0.7,1.0
122_1PP2.L,0.104,0.97,0.478,0.4,1.0
124_1PP2.L,0.16,0.97,0.474,0.4,1.0
15_1PVH.B,1.0,0.59,0.515,0.6,1.0
16_1PVH.B,1.0,0.65,0.222,0.7,1.0
19_1PVH.B,0.324,0.63,0.113,0.2,1.0
25_1PVH.B,0.0,0.03,0.05,0.0,1.0
29_1PVH.B,0.0,0.0,0.031,0.0,1.0
120_1PVH.B,0.0,0.01,0.14,0.0,1.0
127_1PVH.B,0.0,0.74,0.203,0.7,1.0
128_1PVH.B,0.0,0.45,0.037,0.2,1.0
4_1BJN.A,0.0,0.91,0.758,0.2,1.0
6_1BJN.A,0.0,0.62,0.656,1.0,1.0
11_1BJN.A,0.0,0.96,0.849,0.8,1.0
12_1BJN.A,0.0,0.96,0.373,1.0,1.0
13_1BJN.A,0.0,0.81,0.317,0.0,1.0
14_1BJN.A,0.0,0.78,0.503,0.0,1.0
19_1BJN.A,0.0,0.98,0.693,0.0,1.0
23_1BJN.A,0.279,0.98,0.726,0.2,1.0
26_1BJN.A,0.608,0.98,0.771,0.2,1.0
27_1BJN.A,0.987,0.98,0.478,0.0,1.0
32_1BJN.A,0.987,0.98,0.017,1.0,1.0
37_1BJN.A,0.43,0.93,0.861,1.0,1.0
38_1BJN.A,0.46,0.97,0.403,0.5,1.0
39_1BJN.A,0.46,0.95,0.076,0.5,1.0
41_1BJN.A,0.43,0.0,0.197,0.0,1.0
74_1BJN.A,0.0,0.88,0.34,0.9,1.0
109_1BJN.A,0.0,0.89,0.158,0.0,1.0
112_1BJN.A,0.0,0.93,0.219,0.9,1.0
113_1BJN.A,0.0,0.95,0.183,0.7,1.0
197_1BJN.A,0.0,0.92,0.277,0.0,1.0
203_1BJN.A,0.0,0.89,0.732,0.6,1.0
220_1BJN.A,0.0,0.96,0.372,0.1,1.0
221_1BJN.A,0.0,0.87,0.286,0.8,1.0
222_1BJN.A,0.0,0.0,0.245,0.0,1.0
223_1BJN.A,0.279,0.95,0.33,0.3,1.0
224_1BJN.A,0.269,0.98,0.437,0.4,1.0
238_1BJN.A,0.608,0.93,0.49,0.7,1.0
239_1BJN.A,0.46,0.81,0.44,0.4,1.0
240_1BJN.A,0.118,0.98,0.408,0.8,1.0
241_1BJN.A,0.0,0.0,0.185,0.8,1.0
248_1BJN.A,0.0,0.0,0.342,0.0,1.0
323_1BJN.A,0.0,0.58,0.957,0.0,1.0
17_1BKD.R,0.0,0.6,0.113,0.4,1.0
25_1BKD.R,0.171,0.0,0.089,0.0,1.0
30_1BKD.R,0.081,0.05,0.21,0.0,1.0
31_1BKD.R,0.091,0.09,0.33,0.0,1.0
32_1BKD.R,1.0,0.61,0.216,0.8,1.0
34_1BKD.R,0.303,0.99,0.555,1.0,1.0
37_1BKD.R,0.465,0.54,0.368,0.2,1.0
40_1BKD.R,0.465,0.68,0.578,0.4,1.0
54_1BKD.R,0.131,0.0,0.187,0.0,1.0
57_1BKD.R,0.131,0.03,0.225,0.1,1.0
59_1BKD.R,0.014,0.78,0.28,0.0,1.0
60_1BKD.R,0.131,0.99,0.415,0.6,1.0
61_1BKD.R,0.285,0.75,0.932,1.0,1.0
63_1BKD.R,0.171,0.98,0.383,0.7,1.0
64_1BKD.R,0.377,0.25,1.0,0.5,1.0
65_1BKD.R,0.285,0.21,0.133,0.3,1.0
67_1BKD.R,0.377,0.4,0.946,0.9,1.0
68_1BKD.R,0.171,0.05,0.018,0.0,1.0
69_1BKD.R,0.194,0.07,0.092,0.0,1.0
70_1BKD.R,0.131,0.27,0.803,0.3,1.0
71_1BKD.R,0.173,0.03,0.904,0.4,1.0
73_1BKD.R,0.0,0.07,0.163,0.0,1.0
95_1BKD.R,0.0,0.09,0.017,0.0,1.0
102_1BKD.R,0.0,0.01,0.03,0.0,1.0
103_1BKD.R,0.0,0.0,0.016,0.0,1.0
582_1BML.A,0.155,0.05,0.689,0.1,1.0
605_1BML.A,0.0,0.0,0.033,0.0,1.0
606_1BML.A,0.0,0.04,0.191,0.0,1.0
609_1BML.A,0.0,0.02,0.158,1.0,1.0
610_1BML.A,0.0,0.13,0.355,0.6,1.0
622_1BML.A,0.0,0.08,0.341,0.5,1.0
623_1BML.A,0.073,0.46,0.384,0.0,1.0
625_1BML.A,0.0,0.14,0.576,0.0,1.0
626_1BML.A,0.0,0.09,0.265,0.2,1.0
628_1BML.A,0.0,0.11,0.115,0.1,1.0
630_1BML.A,0.0,0.02,0.048,0.0,1.0
632_1BML.A,0.0,0.02,0.138,0.0,1.0
643_1BML.A,0.0,0.96,0.118,0.0,1.0
644_1BML.A,0.0,0.14,0.196,0.0,1.0
645_1BML.A,0.0,0.1,0.066,0.0,1.0
690_1BML.A,0.0,0.14,0.709,0.5,1.0
692_1BML.A,0.0,0.56,0.958,0.4,1.0
693_1BML.A,0.0,0.0,0.568,0.0,1.0
694_1BML.A,0.0,0.1,0.61,0.0,1.0
695_1BML.A,0.0,0.07,0.311,0.0,1.0
696_1BML.A,0.0,0.04,0.514,0.0,1.0
713_1BML.A,1.0,0.12,0.314,0.3,1.0
717_1BML.A,0.548,0.17,0.268,0.4,1.0
718_1BML.A,0.565,0.35,0.152,0.2,1.0
719_1BML.A,0.382,0.37,0.312,0.2,1.0
761_1BML.A,0.259,0.04,0.171,0.0,1.0
34_1BO1.A,0.603,0.18,0.565,0.8,1.0
35_1BO1.A,0.626,0.05,0.351,0.0,1.0
48_1BO1.A,0.0,0.25,0.309,0.0,1.0
56_1BO1.A,0.0,0.16,0.273,0.0,1.0
72_1BO1.A,0.404,0.04,0.171,0.0,1.0
73_1BO1.A,0.083,0.02,0.137,0.2,1.0
74_1BO1.A,0.676,0.08,0.205,0.3,1.0
75_1BO1.A,0.0,0.04,0.101,0.0,1.0
76_1BO1.A,0.0,0.06,0.198,0.0,1.0
77_1BO1.A,0.0,0.95,0.177,0.9,1.0
78_1BO1.A,0.0,0.24,0.198,0.0,1.0
79_1BO1.A,0.05,0.0,0.221,0.0,1.0
80_1BO1.A,0.453,0.87,0.221,0.6,1.0
81_1BO1.A,0.757,0.78,0.368,0.0,1.0
82_1BO1.A,0.453,0.92,0.319,0.8,1.0
83_1BO1.A,0.598,0.66,0.304,0.4,1.0
84_1BO1.A,1.0,0.7,0.521,0.1,1.0
100_1BO1.A,0.274,0.0,0.038,0.5,1.0
12_1BRM.A,0.0,0.19,0.058,0.1,1.0
15_1BRM.A,0.0,0.79,0.105,0.0,1.0
157_1BRM.A,0.103,0.87,0.243,0.4,1.0
159_1BRM.A,0.152,0.98,0.193,0.7,1.0
160_1BRM.A,0.0,0.0,0.061,0.0,1.0
161_1BRM.A,0.377,0.98,0.316,0.3,1.0
169_1BRM.A,0.049,0.17,0.042,0.0,1.0
173_1BRM.A,0.225,0.71,0.13,0.3,1.0
179_1BRM.A,1.0,0.99,0.25,1.0,1.0
180_1BRM.A,0.281,0.72,0.15,0.5,1.0
183_1BRM.A,0.921,0.98,0.26,0.7,1.0
192_1BRM.A,0.072,0.94,0.066,0.0,1.0
193_1BRM.A,0.103,0.97,0.104,0.1,1.0
195_1BRM.A,0.0,0.83,0.063,0.0,1.0
197_1BRM.A,0.0,0.98,0.18,0.0,1.0
198_1BRM.A,0.0,0.99,0.115,1.0,1.0
200_1BRM.A,0.0,0.0,0.071,0.0,1.0
201_1BRM.A,0.0,0.92,0.163,0.3,1.0
202_1BRM.A,0.0,0.97,0.023,0.0,1.0
205_1BRM.A,0.0,0.98,0.096,0.0,1.0
208_1BRM.A,0.0,0.55,0.072,0.0,1.0
209_1BRM.A,0.0,0.92,0.214,1.0,1.0
220_1BRM.A,0.0,0.99,0.279,0.8,1.0
224_1BRM.A,0.0,0.84,0.21,1.0,1.0
225_1BRM.A,0.103,0.92,0.249,0.2,1.0
226_1BRM.A,0.285,0.96,0.347,1.0,1.0
228_1BRM.A,0.08,0.94,0.592,0.2,1.0
229_1BRM.A,0.171,0.96,1.0,1.0,1.0
231_1BRM.A,0.0,0.9,0.599,0.0,1.0
246_1BRM.A,0.0,0.21,0.211,0.0,1.0
262_1BRM.A,0.173,0.98,0.464,0.8,1.0
264_1BRM.A,0.171,0.98,0.598,0.7,1.0
266_1BRM.A,0.377,0.94,0.195,0.1,1.0
269_1BRM.A,0.0,0.95,0.141,0.0,1.0
271_1BRM.A,0.103,0.75,0.127,0.0,1.0
272_1BRM.A,0.0,0.2,0.07,0.0,1.0
279_1BRM.A,0.0,0.92,0.21,1.0,1.0
307_1BRM.A,0.0,0.06,0.035,0.0,1.0
309_1BRM.A,0.0,0.99,0.203,0.0,1.0
