residue,predus,ispred,dockpred,logreg,annotated
280_1KXP.A,0.0,0.15,0.112,0.04,1.0
283_1KXP.A,0.0,0.88,0.168,0.236,1.0
284_1KXP.A,0.0,0.92,0.204,0.272,1.0
286_1KXP.A,0.0,0.66,0.419,0.239,1.0
287_1KXP.A,0.0,0.95,0.143,0.259,1.0
288_1KXP.A,0.0,0.83,0.291,0.266,1.0
290_1KXP.A,0.0,0.59,0.138,0.12,1.0
291_1KXP.A,0.0,0.49,0.055,0.08,1.0
295_1KXP.A,0.0,0.04,0.01,0.024,1.0
328_1KXP.A,0.0,0.05,0.045,0.027,1.0
351_1KXP.A,0.312,0.96,0.388,0.506,1.0
134_1KXP.D,0.031,0.07,0.656,0.11,1.0
136_1KXP.D,0.031,0.0,0.538,0.073,1.0
137_1KXP.D,0.0,0.91,0.91,0.65,1.0
138_1KXP.D,0.0,0.19,0.626,0.131,1.0
139_1KXP.D,0.0,0.86,0.386,0.327,1.0
140_1KXP.D,0.0,0.88,0.549,0.428,1.0
141_1KXP.D,0.0,0.85,0.291,0.276,1.0
143_1KXP.D,0.0,0.36,0.414,0.125,1.0
167_1KXP.D,0.031,0.01,0.422,0.058,1.0
196_1KXP.D,0.0,0.34,0.268,0.088,1.0
203_1KXP.D,0.0,0.98,0.375,0.393,1.0
205_1KXP.D,0.0,0.99,0.065,0.245,1.0
207_1KXP.D,0.0,0.8,0.342,0.273,1.0
210_1KXP.D,0.0,0.7,0.184,0.168,1.0
211_1KXP.D,0.0,0.68,0.265,0.188,1.0
214_1KXP.D,0.0,0.44,0.314,0.122,1.0
218_1KXP.D,0.0,0.2,0.257,0.062,1.0
311_1KXP.D,0.0,0.02,0.325,0.046,1.0
314_1KXP.D,0.0,0.02,0.897,0.153,1.0
413_1KXP.D,0.079,0.01,0.362,0.055,1.0
414_1KXP.D,0.279,0.04,0.698,0.157,1.0
415_1KXP.D,0.051,0.07,0.993,0.218,1.0
416_1KXP.D,0.079,0.06,0.746,0.138,1.0
450_1KXP.D,0.0,0.27,0.796,0.215,1.0
451_1KXP.D,0.0,0.95,0.709,0.564,1.0
456_1KXP.D,0.0,0.98,0.34,0.373,1.0
20_1LFD.A,0.652,0.99,0.733,0.806,1.0
27_1LFD.A,0.249,0.92,0.141,0.322,1.0
28_1LFD.A,0.466,0.53,0.321,0.269,1.0
29_1LFD.A,0.197,0.92,0.329,0.403,1.0
30_1LFD.A,1.0,0.99,0.463,0.793,1.0
31_1LFD.A,0.708,0.54,0.657,0.544,1.0
32_1LFD.A,0.598,0.87,0.255,0.482,1.0
33_1LFD.A,0.173,0.98,0.427,0.488,1.0
51_1LFD.A,0.0,0.02,0.031,0.024,1.0
52_1LFD.A,0.079,0.07,0.172,0.042,1.0
54_1LFD.A,0.0,0.03,0.071,0.027,1.0
17_1LUC.A,0.0,0.68,0.621,0.345,1.0
18_1LUC.A,0.0,0.96,0.291,0.335,1.0
21_1LUC.A,0.0,0.91,0.296,0.31,1.0
22_1LUC.A,0.0,0.43,0.057,0.07,1.0
45_1LUC.A,0.0,0.0,0.549,0.072,1.0
46_1LUC.A,0.0,0.97,1.0,0.727,1.0
47_1LUC.A,0.0,0.0,0.396,0.051,1.0
51_1LUC.A,0.0,0.71,0.421,0.264,1.0
54_1LUC.A,0.0,0.97,0.587,0.507,1.0
60_1LUC.A,0.0,0.76,0.077,0.155,1.0
61_1LUC.A,0.0,0.99,0.15,0.283,1.0
64_1LUC.A,0.0,0.96,0.052,0.225,1.0
65_1LUC.A,0.0,0.52,0.027,0.081,1.0
80_1LUC.A,0.0,0.0,0.236,0.036,1.0
82_1LUC.A,0.0,0.98,0.274,0.339,1.0
85_1LUC.A,0.0,0.85,0.497,0.38,1.0
88_1LUC.A,0.0,0.85,0.112,0.201,1.0
89_1LUC.A,0.0,0.91,0.166,0.25,1.0
95_1LUC.A,0.129,0.72,0.097,0.175,1.0
96_1LUC.A,0.0,0.9,0.106,0.22,1.0
115_1LUC.A,0.0,0.75,0.732,0.449,1.0
116_1LUC.A,0.0,0.94,0.981,0.703,1.0
117_1LUC.A,0.0,0.98,0.87,0.67,1.0
153_1LUC.A,0.0,0.94,0.105,0.238,1.0
154_1LUC.A,0.0,0.98,0.082,0.247,1.0
157_1LUC.A,0.129,0.23,0.116,0.059,1.0
159_1LUC.A,0.46,0.56,0.106,0.193,1.0
160_1LUC.A,0.129,0.87,0.073,0.228,1.0
161_1LUC.A,0.051,0.48,0.099,0.092,1.0
261_1LUC.A,1.0,0.93,0.869,0.893,1.0
267_1ML0.A,0.0,0.17,0.145,0.045,1.0
269_1ML0.A,0.024,0.25,0.054,0.046,1.0
270_1ML0.A,0.0,0.8,0.105,0.179,1.0
272_1ML0.A,0.0,0.83,0.036,0.167,1.0
273_1ML0.A,0.0,0.37,0.026,0.056,1.0
274_1ML0.A,0.0,0.21,0.013,0.037,1.0
275_1ML0.A,0.0,0.27,0.021,0.044,1.0
356_1ML0.A,0.0,0.04,0.02,0.025,1.0
357_1ML0.A,0.0,0.06,0.031,0.027,1.0
50_1MLC.A,0.0,0.26,0.598,0.144,1.0
91_1MLC.A,0.0,0.0,0.384,0.05,1.0
92_1MLC.A,0.051,0.76,0.621,0.412,1.0
94_1MLC.A,0.2,0.85,1.0,0.727,1.0
530_1MLC.A,0.428,0.18,0.251,0.107,1.0
532_1MLC.A,0.76,0.26,0.676,0.396,1.0
533_1MLC.A,1.0,0.65,0.982,0.841,1.0
535_1MLC.A,0.0,0.0,0.205,0.034,1.0
550_1MLC.A,0.455,0.0,0.63,0.158,1.0
555_1MLC.A,0.04,0.23,0.398,0.095,1.0
556_1MLC.A,0.009,0.14,0.25,0.053,1.0
557_1MLC.A,0.016,0.14,0.636,0.122,1.0
601_1MLC.A,0.051,0.0,0.386,0.054,1.0
139_1MQ8.B,0.0,0.0,0.079,0.025,1.0
140_1MQ8.B,0.76,0.74,1.0,0.827,1.0
141_1MQ8.B,0.406,0.51,0.416,0.284,1.0
143_1MQ8.B,0.223,0.13,0.41,0.1,1.0
204_1MQ8.B,1.0,0.96,0.983,0.922,1.0
205_1MQ8.B,0.507,0.97,0.707,0.748,1.0
206_1MQ8.B,0.0,0.0,0.09,0.026,1.0
241_1MQ8.B,0.186,0.02,0.274,0.054,1.0
243_1MQ8.B,0.173,0.02,0.358,0.064,1.0
244_1MQ8.B,0.131,0.17,0.319,0.079,1.0
245_1MQ8.B,0.0,0.02,0.206,0.035,1.0
264_1MQ8.B,0.026,0.14,0.297,0.061,1.0
12_1MSP.A,0.0,0.03,0.597,0.085,1.0
13_1MSP.A,0.0,0.05,0.601,0.09,1.0
14_1MSP.A,0.0,0.08,0.345,0.056,1.0
16_1MSP.A,0.0,0.06,0.427,0.064,1.0
18_1MSP.A,0.051,0.04,0.664,0.108,1.0
20_1MSP.A,0.014,0.08,0.871,0.169,1.0
21_1MSP.A,0.04,0.06,0.488,0.077,1.0
22_1MSP.A,0.035,0.03,0.503,0.073,1.0
24_1MSP.A,0.009,0.01,0.18,0.033,1.0
29_1MSP.A,0.051,0.03,0.879,0.162,1.0
125_1MSP.A,0.075,0.51,0.534,0.238,1.0
126_1MSP.A,0.084,0.5,0.372,0.175,1.0
72_1NSE.A,0.255,0.96,0.375,0.477,1.0
76_1NSE.A,0.455,0.98,0.971,0.838,1.0
77_1NSE.A,1.0,0.86,0.195,0.595,1.0
90_1NSE.A,0.0,0.07,0.013,0.026,1.0
93_1NSE.A,0.0,0.12,0.017,0.03,1.0
94_1NSE.A,0.0,0.97,0.01,0.213,1.0
96_1NSE.A,0.217,0.89,0.095,0.273,1.0
97_1NSE.A,0.079,0.96,0.138,0.286,1.0
98_1NSE.A,0.131,0.96,0.288,0.381,1.0
99_1NSE.A,0.131,0.93,0.345,0.394,1.0
100_1NSE.A,0.217,0.97,0.388,0.476,1.0
101_1NSE.A,0.061,0.78,0.616,0.425,1.0
104_1NSE.A,0.217,0.99,0.569,0.592,1.0
105_1NSE.A,0.194,0.8,0.236,0.285,1.0
106_1NSE.A,0.0,0.99,0.125,0.271,1.0
366_1NSE.A,0.0,0.0,0.034,0.023,1.0
367_1NSE.A,0.0,0.98,0.121,0.264,1.0
371_1NSE.A,0.0,0.0,0.074,0.025,1.0
372_1NSE.A,0.0,0.89,0.12,0.221,1.0
373_1NSE.A,0.0,0.87,0.124,0.214,1.0
392_1NSE.A,0.0,0.97,0.272,0.332,1.0
393_1NSE.A,0.0,0.98,0.206,0.304,1.0
395_1NSE.A,0.0,0.98,0.263,0.333,1.0
398_1NSE.A,0.0,0.57,0.266,0.148,1.0
406_1NSE.A,0.0,0.17,0.019,0.034,1.0
421_1NSE.A,0.0,0.96,0.023,0.214,1.0
422_1NSE.A,0.0,0.0,0.006,0.022,1.0
423_1NSE.A,0.0,0.85,0.031,0.173,1.0
448_1NSE.A,0.217,0.96,0.395,0.473,1.0
453_1NSE.A,0.079,0.97,0.237,0.341,1.0
455_1NSE.A,0.079,0.95,0.207,0.314,1.0
456_1NSE.A,0.217,0.98,0.311,0.438,1.0
457_1NSE.A,0.194,0.98,0.62,0.606,1.0
462_1NSE.A,0.194,0.95,1.0,0.774,1.0
463_1NSE.A,0.194,0.98,0.67,0.633,1.0
465_1NSE.A,0.091,0.96,0.766,0.635,1.0
466_1NSE.A,0.081,0.97,0.244,0.345,1.0
468_1NSE.A,0.079,0.94,0.078,0.249,1.0
469_1NSE.A,0.0,0.0,0.013,0.022,1.0
205_1OFU.A,0.0,0.51,0.535,0.218,1.0
206_1OFU.A,0.0,0.98,0.667,0.559,1.0
207_1OFU.A,0.0,0.98,0.673,0.562,1.0
208_1OFU.A,0.0,0.97,0.389,0.394,1.0
210_1OFU.A,0.0,0.87,0.194,0.242,1.0
269_1OFU.A,0.317,0.57,0.361,0.262,1.0
270_1OFU.A,0.616,0.34,0.16,0.164,1.0
271_1OFU.A,0.468,0.07,0.363,0.11,1.0
272_1OFU.A,0.698,0.07,0.324,0.139,1.0
273_1OFU.A,0.698,0.98,0.587,0.756,1.0
276_1OFU.A,0.468,0.87,0.435,0.536,1.0
304_1OFU.A,0.024,0.12,0.14,0.041,1.0
6_1ONE.A,0.133,0.72,0.45,0.326,1.0
8_1ONE.A,0.246,0.95,0.52,0.551,1.0
10_1ONE.A,0.108,0.95,0.474,0.471,1.0
11_1ONE.A,0.121,0.96,1.0,0.758,1.0
12_1ONE.A,0.108,0.0,0.178,0.037,1.0
13_1ONE.A,0.18,0.97,0.187,0.35,1.0
14_1ONE.A,0.122,0.98,0.324,0.41,1.0
15_1ONE.A,0.108,0.96,0.57,0.532,1.0
16_1ONE.A,0.266,0.0,0.219,0.052,1.0
20_1ONE.A,0.073,0.0,0.149,0.033,1.0
31_1ONE.A,0.126,0.96,0.198,0.331,1.0
55_1ONE.A,0.364,0.87,0.656,0.621,1.0
56_1ONE.A,1.0,0.97,0.982,0.923,1.0
161_1ONE.A,0.0,0.99,0.086,0.254,1.0
183_1ONE.A,0.0,0.0,0.006,0.022,1.0
184_1ONE.A,0.0,0.98,0.007,0.216,1.0
188_1ONE.A,0.0,0.98,0.005,0.215,1.0
191_1ONE.A,0.0,0.98,0.019,0.221,1.0
203_1ONE.A,0.0,0.86,0.042,0.18,1.0
204_1ONE.A,0.0,0.97,0.091,0.246,1.0
207_1ONE.A,0.0,0.98,0.126,0.267,1.0
208_1ONE.A,0.0,0.94,0.105,0.238,1.0
215_1ONE.A,0.0,0.98,0.028,0.225,1.0
217_1ONE.A,0.0,0.82,0.056,0.17,1.0
379_1ONE.A,0.0,0.98,0.265,0.334,1.0
400_1ONE.A,0.0,0.0,0.012,0.022,1.0
401_1ONE.A,0.0,0.64,0.022,0.106,1.0
402_1ONE.A,0.0,0.98,0.151,0.278,1.0
403_1ONE.A,0.0,0.97,0.089,0.245,1.0
404_1ONE.A,0.0,0.0,0.058,0.024,1.0
406_1ONE.A,0.0,0.95,0.021,0.209,1.0
410_1ONE.A,0.0,0.99,0.025,0.228,1.0
414_1ONE.A,0.0,0.98,0.04,0.23,1.0
417_1ONE.A,0.0,0.98,0.014,0.219,1.0
1_1PDK.A,0.183,0.01,0.168,0.042,1.0
4_1PDK.A,0.241,0.0,0.085,0.037,1.0
8_1PDK.A,0.399,0.0,0.137,0.052,1.0
26_1PDK.A,0.0,0.01,0.217,0.035,1.0
31_1PDK.A,0.0,0.0,0.263,0.038,1.0
91_1PDK.A,0.241,0.96,0.482,0.533,1.0
92_1PDK.A,0.355,0.0,0.142,0.05,1.0
99_1PDK.A,0.0,0.97,0.34,0.367,1.0
100_1PDK.A,0.241,0.95,0.186,0.36,1.0
101_1PDK.A,0.399,0.98,0.367,0.541,1.0
102_1PDK.A,0.885,0.98,0.488,0.768,1.0
103_1PDK.A,1.0,0.96,0.687,0.856,1.0
104_1PDK.A,1.0,0.97,0.592,0.83,1.0
105_1PDK.A,0.525,0.97,0.666,0.736,1.0
106_1PDK.A,0.398,0.95,0.443,0.564,1.0
107_1PDK.A,0.355,0.98,0.456,0.575,1.0
108_1PDK.A,0.355,0.98,0.387,0.535,1.0
109_1PDK.A,0.0,0.88,0.18,0.241,1.0
110_1PDK.A,0.0,0.98,0.255,0.328,1.0
112_1PDK.A,0.0,0.93,0.107,0.234,1.0
152_1PDK.A,0.0,0.0,0.031,0.023,1.0
154_1PDK.A,0.0,0.0,0.063,0.024,1.0
163_1PDK.A,0.0,0.0,0.017,0.022,1.0
164_1PDK.A,0.0,0.14,0.353,0.066,1.0
165_1PDK.A,0.0,0.24,0.136,0.052,1.0
166_1PDK.A,0.0,0.18,0.058,0.038,1.0
170_1PDK.A,0.0,0.97,0.182,0.287,1.0
200_1PDK.A,0.525,0.06,0.52,0.16,1.0
5_1PNK.A,0.0,0.64,0.007,0.103,1.0
6_1PNK.A,0.0,0.79,0.008,0.145,1.0
7_1PNK.A,0.0,0.91,0.007,0.187,1.0
9_1PNK.A,0.259,0.95,0.005,0.275,1.0
10_1PNK.A,0.428,0.98,0.026,0.359,1.0
11_1PNK.A,0.428,0.98,0.055,0.375,1.0
12_1PNK.A,0.64,0.95,0.354,0.605,1.0
13_1PNK.A,0.565,0.98,0.261,0.544,1.0
14_1PNK.A,0.565,0.97,0.514,0.675,1.0
15_1PNK.A,0.565,0.93,0.166,0.457,1.0
16_1PNK.A,0.917,0.99,0.894,0.901,1.0
17_1PNK.A,1.0,0.94,0.504,0.787,1.0
18_1PNK.A,0.64,0.99,0.62,0.759,1.0
19_1PNK.A,0.917,0.84,0.392,0.659,1.0
20_1PNK.A,0.525,0.99,0.275,0.543,1.0
21_1PNK.A,0.428,0.97,0.117,0.402,1.0
23_1PNK.A,0.241,0.64,0.062,0.159,1.0
25_1PNK.A,0.0,0.98,0.011,0.218,1.0
26_1PNK.A,0.0,0.95,0.008,0.204,1.0
27_1PNK.A,0.398,0.98,0.456,0.591,1.0
31_1PNK.A,0.565,0.99,0.996,0.87,1.0
33_1PNK.A,0.0,0.0,0.007,0.022,1.0
34_1PNK.A,0.0,0.0,0.144,0.029,1.0
38_1PNK.A,0.241,0.93,0.189,0.349,1.0
39_1PNK.A,0.0,0.98,0.634,0.54,1.0
42_1PNK.A,0.0,0.97,0.454,0.43,1.0
45_1PNK.A,0.0,0.85,0.15,0.216,1.0
49_1PNK.A,0.0,0.9,0.137,0.233,1.0
55_1PNK.A,0.0,0.96,0.003,0.206,1.0
56_1PNK.A,0.0,0.98,0.004,0.215,1.0
60_1PNK.A,0.0,0.8,0.027,0.154,1.0
65_1PNK.A,0.0,0.93,0.149,0.252,1.0
66_1PNK.A,0.0,0.0,0.001,0.021,1.0
67_1PNK.A,0.0,0.96,0.005,0.207,1.0
70_1PNK.A,0.0,0.94,0.009,0.2,1.0
71_1PNK.A,0.0,0.98,0.018,0.221,1.0
72_1PNK.A,0.0,0.94,0.021,0.205,1.0
73_1PNK.A,0.0,0.98,0.016,0.22,1.0
74_1PNK.A,0.0,0.99,0.024,0.228,1.0
75_1PNK.A,0.0,0.71,0.006,0.121,1.0
81_1PNK.A,0.0,0.95,0.118,0.248,1.0
85_1PNK.A,0.0,0.97,0.101,0.25,1.0
88_1PNK.A,0.0,0.58,0.298,0.162,1.0
89_1PNK.A,0.0,0.94,0.3,0.329,1.0
91_1PNK.A,0.0,0.8,0.007,0.148,1.0
96_1PNK.A,0.241,0.0,0.58,0.107,1.0
115_1PNK.A,0.0,0.0,0.003,0.021,1.0
116_1PNK.A,0.0,0.15,0.009,0.032,1.0
117_1PNK.A,0.0,0.7,0.054,0.13,1.0
118_1PNK.A,0.0,0.79,0.123,0.181,1.0
141_1PNK.A,0.183,0.96,0.562,0.556,1.0
145_1PNK.A,0.0,0.86,0.64,0.466,1.0
146_1PNK.A,0.259,0.96,0.871,0.742,1.0
147_1PNK.A,0.0,0.98,0.314,0.359,1.0
148_1PNK.A,0.0,0.98,0.06,0.238,1.0
150_1PNK.A,0.0,0.96,0.05,0.224,1.0
151_1PNK.A,0.0,0.96,0.046,0.223,1.0
152_1PNK.A,0.259,0.98,0.024,0.3,1.0
155_1PNK.A,0.259,0.94,0.024,0.279,1.0
156_1PNK.A,0.259,0.99,0.008,0.298,1.0
158_1PNK.A,0.0,0.86,0.023,0.174,1.0
161_1PNK.A,0.0,0.75,0.005,0.132,1.0
166_1PNK.A,0.241,0.67,0.019,0.156,1.0
170_1PNK.A,0.0,0.72,0.008,0.124,1.0
172_1PNK.A,0.241,0.7,0.007,0.163,1.0
176_1PNK.A,0.0,0.86,0.01,0.169,1.0
177_1PNK.A,0.0,0.91,0.038,0.198,1.0
178_1PNK.A,0.0,0.98,0.062,0.239,1.0
179_1PNK.A,0.0,0.95,0.078,0.232,1.0
180_1PNK.A,0.355,0.95,0.093,0.351,1.0
182_1PNK.A,0.382,0.98,0.043,0.352,1.0
183_1PNK.A,0.0,0.98,0.061,0.238,1.0
186_1PNK.A,0.0,0.98,0.068,0.241,1.0
187_1PNK.A,0.0,0.93,0.151,0.253,1.0
188_1PNK.A,0.0,0.97,0.147,0.271,1.0
189_1PNK.A,0.0,0.95,0.478,0.431,1.0
190_1PNK.A,0.0,0.98,0.238,0.32,1.0
193_1PNK.A,0.0,0.89,0.019,0.184,1.0
194_1PNK.A,0.0,0.96,0.107,0.248,1.0
195_1PNK.A,0.0,0.93,0.084,0.225,1.0
6_1PP2.L,0.0,0.97,0.242,0.317,1.0
19_1PP2.L,0.055,0.87,0.644,0.496,1.0
23_1PP2.L,0.281,0.96,0.482,0.548,1.0
29_1PP2.L,0.154,0.86,0.16,0.268,1.0
31_1PP2.L,0.104,0.97,0.864,0.696,1.0
34_1PP2.L,0.166,0.97,0.517,0.53,1.0
49_1PP2.L,0.0,0.98,0.243,0.323,1.0
52_1PP2.L,0.0,0.0,0.188,0.032,1.0
55_1PP2.L,0.0,0.0,0.11,0.027,1.0
56_1PP2.L,0.0,0.93,0.173,0.262,1.0
61_1PP2.L,0.0,0.72,0.119,0.155,1.0
67_1PP2.L,0.0,0.93,0.302,0.324,1.0
69_1PP2.L,0.0,0.84,0.482,0.366,1.0
70_1PP2.L,0.0,0.92,0.172,0.257,1.0
118_1PP2.L,1.0,0.96,0.946,0.915,1.0
122_1PP2.L,0.104,0.97,0.478,0.484,1.0
124_1PP2.L,0.16,0.97,0.474,0.503,1.0
15_1PVH.B,1.0,0.59,0.515,0.606,1.0
16_1PVH.B,1.0,0.65,0.222,0.477,1.0
19_1PVH.B,0.324,0.63,0.113,0.191,1.0
25_1PVH.B,0.0,0.03,0.05,0.026,1.0
29_1PVH.B,0.0,0.0,0.031,0.023,1.0
120_1PVH.B,0.0,0.01,0.14,0.03,1.0
127_1PVH.B,0.0,0.74,0.203,0.19,1.0
128_1PVH.B,0.0,0.45,0.037,0.07,1.0
4_1BJN.A,0.0,0.91,0.758,0.586,1.0
6_1BJN.A,0.0,0.62,0.656,0.34,1.0
11_1BJN.A,0.0,0.96,0.849,0.668,1.0
12_1BJN.A,0.0,0.96,0.373,0.391,1.0
13_1BJN.A,0.0,0.81,0.317,0.274,1.0
14_1BJN.A,0.0,0.78,0.503,0.352,1.0
19_1BJN.A,0.0,0.98,0.693,0.593,1.0
23_1BJN.A,0.279,0.98,0.726,0.702,1.0
26_1BJN.A,0.608,0.98,0.771,0.807,1.0
27_1BJN.A,0.987,0.98,0.478,0.781,1.0
32_1BJN.A,0.987,0.98,0.017,0.541,1.0
37_1BJN.A,0.43,0.93,0.861,0.78,1.0
38_1BJN.A,0.46,0.97,0.403,0.578,1.0
39_1BJN.A,0.46,0.95,0.076,0.372,1.0
41_1BJN.A,0.43,0.0,0.197,0.058,1.0
74_1BJN.A,0.0,0.88,0.34,0.324,1.0
109_1BJN.A,0.0,0.89,0.158,0.241,1.0
112_1BJN.A,0.0,0.93,0.219,0.291,1.0
113_1BJN.A,0.0,0.95,0.183,0.284,1.0
197_1BJN.A,0.0,0.92,0.277,0.315,1.0
203_1BJN.A,0.0,0.89,0.732,0.558,1.0
220_1BJN.A,0.0,0.96,0.372,0.39,1.0
221_1BJN.A,0.0,0.87,0.286,0.291,1.0
222_1BJN.A,0.0,0.0,0.245,0.036,1.0
223_1BJN.A,0.279,0.95,0.33,0.457,1.0
224_1BJN.A,0.269,0.98,0.437,0.537,1.0
238_1BJN.A,0.608,0.93,0.49,0.652,1.0
239_1BJN.A,0.46,0.81,0.44,0.495,1.0
240_1BJN.A,0.118,0.98,0.408,0.466,1.0
241_1BJN.A,0.0,0.0,0.185,0.031,1.0
248_1BJN.A,0.0,0.0,0.342,0.045,1.0
323_1BJN.A,0.0,0.58,0.957,0.488,1.0
17_1BKD.R,0.0,0.6,0.113,0.117,1.0
25_1BKD.R,0.171,0.0,0.089,0.032,1.0
30_1BKD.R,0.081,0.05,0.21,0.042,1.0
31_1BKD.R,0.091,0.09,0.33,0.062,1.0
32_1BKD.R,1.0,0.61,0.216,0.422,1.0
34_1BKD.R,0.303,0.99,0.555,0.624,1.0
37_1BKD.R,0.465,0.54,0.368,0.289,1.0
40_1BKD.R,0.465,0.68,0.578,0.493,1.0
54_1BKD.R,0.131,0.0,0.187,0.038,1.0
57_1BKD.R,0.131,0.03,0.225,0.044,1.0
59_1BKD.R,0.014,0.78,0.28,0.246,1.0
60_1BKD.R,0.131,0.99,0.415,0.481,1.0
61_1BKD.R,0.285,0.75,0.932,0.679,1.0
63_1BKD.R,0.171,0.98,0.383,0.47,1.0
64_1BKD.R,0.377,0.25,1.0,0.431,1.0
65_1BKD.R,0.285,0.21,0.133,0.069,1.0
67_1BKD.R,0.377,0.4,0.946,0.497,1.0
68_1BKD.R,0.171,0.05,0.018,0.031,1.0
69_1BKD.R,0.194,0.07,0.092,0.039,1.0
70_1BKD.R,0.131,0.27,0.803,0.259,1.0
71_1BKD.R,0.173,0.03,0.904,0.201,1.0
73_1BKD.R,0.0,0.07,0.163,0.036,1.0
95_1BKD.R,0.0,0.09,0.017,0.027,1.0
102_1BKD.R,0.0,0.01,0.03,0.022,1.0
103_1BKD.R,0.0,0.0,0.016,0.021,1.0
582_1BML.A,0.155,0.05,0.689,0.134,1.0
605_1BML.A,0.0,0.0,0.033,0.022,1.0
606_1BML.A,0.0,0.04,0.191,0.035,1.0
609_1BML.A,0.0,0.02,0.158,0.031,1.0
610_1BML.A,0.0,0.13,0.355,0.064,1.0
622_1BML.A,0.0,0.08,0.341,0.055,1.0
623_1BML.A,0.073,0.46,0.384,0.163,1.0
625_1BML.A,0.0,0.14,0.576,0.107,1.0
626_1BML.A,0.0,0.09,0.265,0.047,1.0
628_1BML.A,0.0,0.11,0.115,0.035,1.0
630_1BML.A,0.0,0.02,0.048,0.024,1.0
632_1BML.A,0.0,0.02,0.138,0.03,1.0
643_1BML.A,0.0,0.96,0.118,0.258,1.0
644_1BML.A,0.0,0.14,0.196,0.046,1.0
645_1BML.A,0.0,0.1,0.066,0.031,1.0
690_1BML.A,0.0,0.14,0.709,0.141,1.0
692_1BML.A,0.0,0.56,0.958,0.476,1.0
693_1BML.A,0.0,0.0,0.568,0.075,1.0
694_1BML.A,0.0,0.1,0.61,0.104,1.0
695_1BML.A,0.0,0.07,0.311,0.05,1.0
696_1BML.A,0.0,0.04,0.514,0.073,1.0
713_1BML.A,1.0,0.12,0.314,0.202,1.0
717_1BML.A,0.548,0.17,0.268,0.119,1.0
718_1BML.A,0.565,0.35,0.152,0.144,1.0
719_1BML.A,0.382,0.37,0.312,0.168,1.0
761_1BML.A,0.259,0.04,0.171,0.048,1.0
34_1BO1.A,0.603,0.18,0.565,0.234,1.0
35_1BO1.A,0.626,0.05,0.351,0.119,1.0
48_1BO1.A,0.0,0.25,0.309,0.078,1.0
56_1BO1.A,0.0,0.16,0.273,0.057,1.0
72_1BO1.A,0.404,0.04,0.171,0.058,1.0
73_1BO1.A,0.083,0.02,0.137,0.033,1.0
74_1BO1.A,0.676,0.08,0.205,0.099,1.0
75_1BO1.A,0.0,0.04,0.101,0.029,1.0
76_1BO1.A,0.0,0.06,0.198,0.038,1.0
77_1BO1.A,0.0,0.95,0.177,0.281,1.0
78_1BO1.A,0.0,0.24,0.198,0.059,1.0
79_1BO1.A,0.05,0.0,0.221,0.036,1.0
80_1BO1.A,0.453,0.87,0.221,0.402,1.0
81_1BO1.A,0.757,0.78,0.368,0.538,1.0
82_1BO1.A,0.453,0.92,0.319,0.492,1.0
83_1BO1.A,0.598,0.66,0.304,0.366,1.0
84_1BO1.A,1.0,0.7,0.521,0.658,1.0
100_1BO1.A,0.274,0.0,0.038,0.033,1.0
12_1BRM.A,0.0,0.19,0.058,0.038,1.0
15_1BRM.A,0.0,0.79,0.105,0.177,1.0
157_1BRM.A,0.103,0.87,0.243,0.3,1.0
159_1BRM.A,0.152,0.98,0.193,0.353,1.0
160_1BRM.A,0.0,0.0,0.061,0.023,1.0
161_1BRM.A,0.377,0.98,0.316,0.503,1.0
169_1BRM.A,0.049,0.17,0.042,0.037,1.0
173_1BRM.A,0.225,0.71,0.13,0.203,1.0
179_1BRM.A,1.0,0.99,0.25,0.684,1.0
180_1BRM.A,0.281,0.72,0.15,0.23,1.0
183_1BRM.A,0.921,0.98,0.26,0.658,1.0
192_1BRM.A,0.072,0.94,0.066,0.244,1.0
193_1BRM.A,0.103,0.97,0.104,0.286,1.0
195_1BRM.A,0.0,0.83,0.063,0.178,1.0
197_1BRM.A,0.0,0.98,0.18,0.299,1.0
198_1BRM.A,0.0,0.99,0.115,0.272,1.0
200_1BRM.A,0.0,0.0,0.071,0.024,1.0
201_1BRM.A,0.0,0.92,0.163,0.259,1.0
202_1BRM.A,0.0,0.97,0.023,0.222,1.0
205_1BRM.A,0.0,0.98,0.096,0.258,1.0
208_1BRM.A,0.0,0.55,0.072,0.095,1.0
209_1BRM.A,0.0,0.92,0.214,0.283,1.0
220_1BRM.A,0.0,0.99,0.279,0.357,1.0
224_1BRM.A,0.0,0.84,0.21,0.24,1.0
225_1BRM.A,0.103,0.92,0.249,0.332,1.0
226_1BRM.A,0.285,0.96,0.347,0.476,1.0
228_1BRM.A,0.08,0.94,0.592,0.536,1.0
229_1BRM.A,0.171,0.96,1.0,0.787,1.0
231_1BRM.A,0.0,0.9,0.599,0.485,1.0
246_1BRM.A,0.0,0.21,0.211,0.057,1.0
262_1BRM.A,0.173,0.98,0.464,0.519,1.0
264_1BRM.A,0.171,0.98,0.598,0.597,1.0
266_1BRM.A,0.377,0.94,0.195,0.405,1.0
269_1BRM.A,0.0,0.95,0.141,0.264,1.0
271_1BRM.A,0.103,0.75,0.127,0.191,1.0
272_1BRM.A,0.0,0.2,0.07,0.04,1.0
279_1BRM.A,0.0,0.92,0.21,0.281,1.0
307_1BRM.A,0.0,0.06,0.035,0.026,1.0
309_1BRM.A,0.0,0.99,0.203,0.316,1.0
